ano,cob_ab,cob_acs,cob_esf,cob_vac_bcg,cob_vac_rota,cob_vac_menin,cob_vac_pneumo,cob_vac_polio,cob_vac_tvd1,cob_vac_penta,cob_vac_hepb,cob_vac_hepa,pct_prenatal_adeq,pct_prenatal_zero,pct_prenatal_1a6,pct_prenatal_7m,tx_mort_inf_ibge,n_obitos,n_obitos_csap,n_obitos_evit,n_obitos_maldef,tx_mort,tx_mort_csap,tx_mort_evit,pct_mort_maldef,tx_mort_aj_oms,tx_mort_csap_aj_oms,tx_mort_evit_aj_oms,tx_mort_aj_cens,tx_mort_csap_aj_cens,tx_mort_evit_aj_cens,n_hosp,n_hosp_csap,tx_hosp,tx_hosp_csap,n_leitouti_sus,n_leito_sus,tx_leito_sus,tx_leitouti_sus,n_enf,n_med,n_enf_ch,n_med_ch,tx_med,tx_enf,tx_med_ch,tx_enf_ch,n_leito_nsus,n_leitouti_nsus,tx_leito_nsus,tx_leitouti_nsus,cob_priv,pct_desp_recp_saude_mun,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun,pct_desp_recp_saude_uf,desp_tot_saude_pc_uf,desp_recp_saude_pc_uf,desp_tot_saude_pc_mun_def,desp_recp_saude_pc_mun_def,desp_tot_saude_pc_uf_def,desp_recp_saude_pc_uf_def,num_familias_bf,gasto_pbf_pc_def
2010,66.2057206355396,62.8823314088352,53.0190821649927,100,83.0373508412472,26.8794804987246,24.0247369073449,99.3450185751107,99.9332316472964,,,,,1.81986033916473,36.7323379516602,60.5720443725586,17.2158968377689,,,,,581.422119140625,150.643249511719,119.097595214844,6.9761528968811,387.106872558594,83.2933578491211,97.9548110961914,581.422119140625,150.643249511719,119.097595214844,11347140,2543426,5823.5927734375,1305.34008789062,16090,321255,164.838562011719,8.25590991973877,130779,295569,,,1.51658868789673,0.67103773355484,1.70914173126221,0.674152314662933,136261,17335,69.916633605957,8.89472961425781,22.9904861450195,20.3669035944109,371.949640812425,208.371792241495,12.86,286.57,191.02,712.284134202841,399.032302611837,548.781990735799,365.803593782854,12778220,141.257708537412
2011,67.1133733134897,64.5290951285837,54.6337980529756,100,87.0566295460282,100,81.6466549933352,100,100,,,,,2.6952862739563,35.1130027770996,61.2804641723633,16.4252233082615,,,,,593.387756347656,154.005447387695,121.47917175293,6.66214561462402,385.033843994141,82.3111267089844,98.1366195678711,588.071899414062,152.508926391602,120.052772521973,11267085,2403410,5732.12646484375,1222.73413085938,17328,318575,162.039138793945,8.8136682510376,142304,294671,,,1.4988067150116,0.723811268806458,1.61569404602051,0.72656112909317,137930,17878,70.1563491821289,9.09341812133789,23.3714427947998,20.4725136680218,425.893109185889,243.043665020044,12.76,299.83,210.17,765.78430452257,437.008770444218,539.114400004971,377.899721338908,13361495,158.842517003726
2012,68.3401856430528,65.3317388627351,55.5150609459068,100,86.3665071913208,96.1753694095523,88.3868407319408,96.5454647093524,99.4999772574893,24.8850982389658,,,,2.97674751281738,34.2601280212402,61.6916427612305,15.6941817664701,,,,,593.705078125,150.188888549805,121.162452697754,6.3158745765686,378.118957519531,77.9815826416016,96.1369781494141,583.006713867188,147.26496887207,118.279823303223,11103219,2307846,5600.02197265625,1163.98571777344,18193,317924,160.312683105469,9.17379188537598,157656,306745,,,1.54675698280334,0.794977962970734,1.69338858127594,0.807199537754059,140762,18379,70.9790191650391,9.26758289337158,24.0840930938721,21.3836867191131,489.439331356762,275.657421131489,12.6,320.34,225.64,831.496927811359,468.307886421495,544.218065018838,383.334470221797,13902155,181.280644894045
2013,70.5887239155672,64.7391604667035,57.4573912361737,100,93.519655576934,99.7028444968572,93.5732314305268,100,100,95.8891429442214,,,,2.68268847465515,33.7997550964355,62.419563293457,15.0205558947823,,,,,603.272033691406,152.941619873047,123.988990783691,5.89858388900757,375.018127441406,76.8769378662109,96.7812957763672,586.979431152344,148.532821655273,119.500030517578,11179438,2288427,5589.73974609375,1144.2177734375,19358,315365,157.67919921875,9.67879772186279,175214,324427,,,1.6221010684967,0.876051664352417,1.77818751335144,0.893135190010071,145561,19157,72.7789764404297,9.5782995223999,24.7254104614258,22.100815757603,536.304914622972,302.237073475569,12.99,328.15,252.31,860.268041948133,484.807967097873,526.373990370268,404.721686760086,14086199,199.62259104774
2014,73.1108579220991,65.3964016186008,61.0737305548865,100,93.4432793208522,96.357144062087,93.4454826472554,96.7619020077468,100,94.8475900601061,88.5370566795389,60.1278480145447,63.9947395324707,2.53516054153442,32.0897903442383,64.617546081543,14.3979939819707,,,,,606.368713378906,150.791046142578,123.507354736328,5.77262687683105,368.484161376953,73.3101577758789,94.5901794433594,584.938903808594,145.136138916016,117.454109191895,11353703,2241336,5628.515625,1111.1259765625,19959,316219,156.763259887695,9.89452838897705,196101,345809,,,1.71432292461395,0.972156405448914,1.87444674968719,0.993967473506927,148898,20520,73.8150939941406,10.1726408004761,25.03395652771,22.9360451105967,612.734726245192,336.968752201008,13.3,395.95,274.22,923.681800248996,507.971705093362,596.884415299548,413.379579147473,14003441,203.17591780694
2015,73.6650562453506,65.4928686763447,62.5028443114939,100,95.3499623196226,98.1877926604069,94.2255467789738,98.2948207830282,96.0669749324699,96.2959517112267,90.931554723038,97.0684769787884,65.6064910888672,2.23069596290588,30.6794853210449,66.4923706054688,13.82341647392,,,,,619.619018554688,155.956726074219,126.202301025391,5.64208984375,365.205749511719,73.3749008178711,94.5497589111328,592.550720214844,148.844161987305,118.288124084473,11325421,2162360,5565.982421875,1062.71179199219,20173,312073,153.371154785156,9.91420650482178,208890,352227,,,1.73105204105377,1.02660918235779,1.87231242656708,1.04555797576904,145382,20787,71.4493255615234,10.2159624099731,24.2066173553467,23.267492989179,636.745243026985,358.331465604187,13.3,412.64,285.94,867.308911089458,488.082285098573,562.055787602934,389.478072671537,13936791,185.095326431023
2016,74.1403344528442,65.1501843490644,62.6273351886873,95.550507000167,88.9781681336931,91.6769390433973,94.9970585557391,84.4326204320681,95.405131451145,89.2681464936674,81.745608579946,71.579466535234,67.1949768066406,2.05147314071655,29.6140041351318,67.7450103759766,13.2939052941958,,,,,636.738525390625,160.841049194336,130.906845092773,5.76616144180298,368.127380371094,74.3051147460938,96.2124252319336,603.720336914062,152.101165771484,120.872253417969,11256215,2113098,5486.6455078125,1029.99279785156,21261,312147,152.150604248047,10.3633031845093,220819,367778,,,1.79266965389252,1.07634365558624,1.93533170223236,1.09755897521973,144674,20743,70.5188217163086,10.1108131408691,23.2298679351807,23.9241947647638,680.560382506375,387.812341704437,13.14,424.25,298.33,872.148777456974,496.987583165823,543.683012333818,382.314562332464,13569576,178.064583583656
2017,74.6258247866217,64.464113456167,63.9167316027974,97.9789221523078,85.1172614325655,87.4438086252563,92.1493186139567,84.7433298624796,86.2448016993407,84.2392328774856,85.8791492555179,78.9353786170546,68.3017959594727,1.92123579978943,28.3039875030518,69.3038711547852,12.8053474528041,,,,,633.316711425781,162.709030151367,128.757202148438,5.44601202011108,356.988433837891,72.4143524169922,92.8605194091797,596.372436523438,152.826034545898,117.236000061035,11522845,2126427,5571.84765625,1028.22937011719,21436,310558,150.169677734375,10.3653326034546,234539,385206,,,1.86265552043915,1.13410842418671,2.02531290054321,1.16047847270966,148424,21645,71.7701110839844,10.4663944244385,22.790620803833,24.2036111037801,700.335552881106,403.733498512877,13.42,435.2,321,871.795481771729,502.577712063081,541.748012229599,399.588952035159,13828609,174.838056676913
2018,74.581337108436,64.0379245341814,64.1989240065472,99.7161640061203,91.3284716541212,88.4879566763377,95.2522076379631,89.5435124960805,92.6085775997225,88.4850374610893,88.3999770121709,82.6875638292468,69.8396453857422,1.66669380664825,27.0636806488037,70.8455429077148,12.3546671010237,,,,,630.177062988281,163.05339050293,129.469833374023,5.33402013778687,348.520477294922,71.2215728759766,91.8662414550781,588.065612792969,151.836898803711,116.101333618164,11857647,2134617,5687.259765625,1023.82214355469,22017,309926,148.649200439453,10.5599708557129,251412,396414,,,1.90131270885468,1.2058424949646,2.0772225856781,1.23924696445465,148715,22567,71.327880859375,10.8237657546997,22.5929298400879,22.932445559671,759.981595295066,413.639510474733,13.13,457.31,334.05,911.888852955135,496.31893861493,548.718408349093,400.820853051572,14142764,176.249783365821
2019,74.762279556958,63.2766748731024,64.4751718147542,86.6714208281549,85.3975503524785,87.4121283788522,89.0735609167416,84.1871616358941,93.1182808204441,70.7572001624114,78.5712306048339,85.0205630967069,70.8197860717773,1.52347409725189,25.6095333099365,72.4311447143555,11.9393097312235,,,,,641.104187011719,168.264022827148,131.115280151367,5.53663635253906,343.307830810547,70.9359283447266,91.1195755004883,593.662841796875,155.660049438477,115.961875915527,12185437,2151490,5798.52685546875,1023.8017578125,22877,307909,146.52067565918,10.8861827850342,267346,413661,,,1.9684351682663,1.2721848487854,2.15206480026245,1.31316196918488,150994,23185,71.8515625,11.0327463150024,22.3839912414551,22.7329928683768,811.955932398506,445.788295057897,13.18,482.78,356.2,934.031168401536,512.811281349562,555.3645825936,409.753644144,13170607,170.565916827531
